# forestry
# 2.8.0
Beekeeping statistics for Tlp300 on 1/1/26, 3:29 AM:


Discovered:
Queen:		0
Princess:	0
Drone:		0

Species (136):
--------------
translation{key='for.chat.command.forestry.stats.save.key.discovered.symbol', args=[]}: Discovered
translation{key='for.chat.command.forestry.stats.save.key.blacklisted.symbol', args=[]}: Blacklisted
translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]}: Not counted for the species total

[ translation{key='for.chat.command.forestry.stats.save.key.discovered.symbol', args=[]} ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	UID                                      translation{key='for.gui.species', args=[]} Authority           
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

[ empty ] [ empty ]	forestry:bee_forest                      translation{key='allele.forestry.bee_species.bee_forest', args=[]} Sengir              
[ empty ] [ empty ]	forestry:bee_meadows                     translation{key='allele.forestry.bee_species.bee_meadows', args=[]} Sengir              
[ empty ] [ empty ]	forestry:bee_common                      translation{key='allele.forestry.bee_species.bee_common', args=[]} Sengir              
[ empty ] [ empty ]	forestry:bee_cultivated                  translation{key='allele.forestry.bee_species.bee_cultivated', args=[]} Sengir              
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_noble                       translation{key='allele.forestry.bee_species.bee_noble', args=[]} Sengir              
[ empty ] [ empty ]	forestry:bee_majestic                    translation{key='allele.forestry.bee_species.bee_majestic', args=[]} Sengir              
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_imperial                    translation{key='allele.forestry.bee_species.bee_imperial', args=[]} Sengir              
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_diligent                    translation{key='allele.forestry.bee_species.bee_diligent', args=[]} Sengir              
[ empty ] [ empty ]	forestry:bee_unweary                     translation{key='allele.forestry.bee_species.bee_unweary', args=[]} Sengir              
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_industrious                 translation{key='allele.forestry.bee_species.bee_industrious', args=[]} Sengir              
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_sinister                    translation{key='allele.forestry.bee_species.bee_sinister', args=[]} Sengir              
[ empty ] [ empty ]	forestry:bee_fiendish                    translation{key='allele.forestry.bee_species.bee_fiendish', args=[]} Sengir              
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_demonic                     translation{key='allele.forestry.bee_species.bee_demonic', args=[]} Sengir              
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_modest                      translation{key='allele.forestry.bee_species.bee_modest', args=[]} Sengir              
[ empty ] [ empty ]	forestry:bee_frugal                      translation{key='allele.forestry.bee_species.bee_frugal', args=[]} Sengir              
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_austere                     translation{key='allele.forestry.bee_species.bee_austere', args=[]} Sengir              
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_tropical                    translation{key='allele.forestry.bee_species.bee_tropical', args=[]} Sengir              
[ empty ] [ empty ]	forestry:bee_exotic                      translation{key='allele.forestry.bee_species.bee_exotic', args=[]} Sengir              
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_edenic                      translation{key='allele.forestry.bee_species.bee_edenic', args=[]} Sengir              
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_monastic                    translation{key='allele.forestry.bee_species.bee_monastic', args=[]} Sengir              
[ empty ] [ empty ]	forestry:bee_secluded                    translation{key='allele.forestry.bee_species.bee_secluded', args=[]} Sengir              
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_hermitic                    translation{key='allele.forestry.bee_species.bee_hermitic', args=[]} Sengir              
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_shulking                    translation{key='allele.forestry.bee_species.bee_shulking', args=[]} EnderiumSmith       
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_ended                       translation{key='allele.forestry.bee_species.bee_ended', args=[]} Sengir              
[ empty ] [ empty ]	forestry:bee_spectral                    translation{key='allele.forestry.bee_species.bee_spectral', args=[]} Sengir              
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_phantasmal                  translation{key='allele.forestry.bee_species.bee_phantasmal', args=[]} Sengir              
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_wintry                      translation{key='allele.forestry.bee_species.bee_wintry', args=[]} Sengir              
[ empty ] [ empty ]	forestry:bee_icy                         translation{key='allele.forestry.bee_species.bee_icy', args=[]} Sengir              
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_glacial                     translation{key='allele.forestry.bee_species.bee_glacial', args=[]} Sengir              
[ empty ] [ empty ]	forestry:bee_marshy                      translation{key='allele.forestry.bee_species.bee_marshy', args=[]} Sengir              
[ empty ] [ empty ]	forestry:bee_miry                        translation{key='allele.forestry.bee_species.bee_miry', args=[]} MysteriousAges      
[ empty ] [ empty ]	forestry:bee_boggy                       translation{key='allele.forestry.bee_species.bee_boggy', args=[]} MysteriousAges      
[ empty ] [ empty ]	forestry:bee_savanna                     translation{key='allele.forestry.bee_species.bee_savanna', args=[]} EnderiumSmith       
[ empty ] [ empty ]	forestry:bee_argil                       translation{key='allele.forestry.bee_species.bee_argil', args=[]} EnderiumSmith       
[ empty ] [ empty ]	forestry:bee_pride                       translation{key='allele.forestry.bee_species.bee_pride', args=[]} EnderiumSmith       
[ empty ] [ translation{key='for.chat.command.forestry.stats.save.key.notCounted.symbol', args=[]} ]	forestry:bee_steadfast                   translation{key='allele.forestry.bee_species.bee_steadfast', args=[]} Sengir              
